date,count,temperature,humidity,windspeed
2023-09-26,1848,4.8,34.5,21.6
2023-09-27,2159,7.5,50.6,1.9
2023-09-28,2284,9.9,48.6,12.8
2023-09-29,1974,9.0,47.0,18.4
2023-09-30,1970,9.1,45.1,21.2
2023-10-01,2370,8.9,59.8,8.3
2023-10-02,2185,10.8,50.4,15.7
2023-10-03,1942,5.6,39.1,8.5
2023-10-04,1947,7.3,57.0,13.2
2023-10-05,1487,6.3,56.8,20.2
2023-10-06,1361,-2.1,49.9,3.1
2023-10-07,2124,4.6,24.8,15.3
2023-10-08,1435,4.1,35.3,20.4
2023-10-09,2070,4.7,46.2,5.1
2023-10-10,1494,2.2,39.7,10.1
2023-10-11,1175,1.4,29.2,24.6
2023-10-12,1241,1.8,43.1,15.3
2023-10-13,1607,4.7,36.1,21.0
2023-10-14,1745,3.8,44.1,19.1
2023-10-15,1746,6.2,44.1,23.5
2023-10-16,741,-1.0,53.6,21.3
2023-10-17,1572,4.8,34.5,15.7
2023-10-18,1789,6.6,50.2,11.4
2023-10-19,1192,-0.8,33.9,19.8
2023-10-20,915,1.5,49.9,9.6
2023-10-21,1160,-3.0,45.4,11.5
2023-10-22,946,-6.3,44.7,12.7
2023-10-23,1262,-2.9,42.4,13.4
2023-10-24,1692,0.5,35.7,8.3
2023-10-25,1168,0.7,44.3,14.7
2023-10-26,777,-1.0,45.4,20.1
2023-10-27,1557,1.4,50.7,5.1
2023-10-28,1878,0.5,43.9,2.6
2023-10-29,2316,4.2,44.6,11.5
2023-10-30,1299,-4.4,32.0,15.6
2023-10-31,1276,-3.3,26.7,17.8
2023-11-01,1155,-2.7,41.9,17.0
2023-11-02,684,-3.0,59.4,14.6
2023-11-03,274,-2.8,39.3,27.5
2023-11-04,1734,4.4,33.1,19.5
2023-11-05,1696,-2.8,20.0,15.9
2023-11-06,1437,-0.4,45.0,19.2
2023-11-07,1033,-5.9,32.4,17.1
2023-11-08,1080,-4.2,35.2,14.2
2023-11-09,995,-0.4,42.5,17.1
2023-11-10,1355,-0.1,45.6,13.0
2023-11-11,619,-7.0,55.7,12.8
2023-11-12,1097,2.4,50.5,23.1
2023-11-13,1182,-2.1,46.3,5.0
2023-11-14,742,-5.3,40.5,11.8
2023-11-15,1617,-2.2,31.0,11.1
2023-11-16,615,-5.2,38.7,18.9
2023-11-17,984,-7.5,48.6,8.6
2023-11-18,1523,-3.3,22.8,16.5
2023-11-19,1384,-1.8,40.4,17.2
2023-11-20,988,-1.3,53.5,19.2
2023-11-21,411,-8.5,48.6,20.4
2023-11-22,1139,-6.8,39.2,15.6
2023-11-23,793,-4.9,38.7,11.6
2023-11-24,976,-1.8,46.7,15.2
2023-11-25,1995,-1.2,39.8,5.7
2023-11-26,928,-5.8,46.4,21.5
2023-11-27,397,-8.0,55.9,9.5
2023-11-28,977,-3.5,40.0,13.6
2023-11-29,1130,-6.3,37.6,12.7
2023-11-30,469,-4.0,51.1,26.9
2023-12-01,1084,-2.4,45.5,11.8
2023-12-02,1300,-3.7,36.4,13.8
2023-12-03,513,-8.0,26.9,23.0
2023-12-04,519,-8.7,57.5,17.4
2023-12-05,233,-9.4,58.9,11.3
2023-12-06,882,-3.6,42.7,21.0
2023-12-07,1095,-2.6,48.1,13.7
2023-12-08,130,-8.4,46.1,19.8
2023-12-09,627,-7.1,48.4,22.9
2023-12-10,931,-8.3,58.5,10.9
2023-12-11,1230,-6.2,49.0,8.8
2023-12-12,788,-8.1,44.6,11.6
2023-12-13,427,-8.2,48.5,18.6
2023-12-14,693,-2.7,47.4,27.0
2023-12-15,510,-3.6,52.1,18.8
2023-12-16,996,-6.0,44.5,19.6
2023-12-17,1608,-3.1,41.6,12.8
2023-12-18,194,-7.6,62.3,15.5
2023-12-19,318,-4.9,53.4,17.0
2023-12-20,483,-8.6,54.6,4.4
2023-12-21,358,-8.1,65.7,12.9
2023-12-22,867,-3.6,48.4,12.4
2023-12-23,889,-9.3,46.9,15.7
2023-12-24,570,-7.2,51.8,21.4
2023-12-25,399,-9.2,40.9,16.4
2023-12-26,466,-9.4,41.6,20.5
2023-12-27,678,-6.1,41.0,18.8
2023-12-28,399,-5.9,54.7,18.7
2023-12-29,371,-10.0,37.2,13.0
2023-12-30,1393,-0.4,50.7,14.5
2023-12-31,1623,-2.0,49.4,15.8
